nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
Nome:_STa._R._DE_CASSIA_(IBIPETUBA)_Codigo_Estacao:_83076,STa. R. DE CASSIA (IBIPETUBA),83076,-11.00277777,-44.52499999,450.01,Fechada,2000-01-01,2021-12-31,Mensal
Nome:_VITORIA_DA_CONQUISTA_Codigo_Estacao:_83344,VITORIA DA CONQUISTA,83344,-14.88638888,-40.80138888,879.47,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ACARAU_Codigo_Estacao:_82294,ACARAU,82294,-2.885772,-40.114075,21.52,Desativada,2000-01-01,2011-03-17,Mensal
Nome:_BARBALHA_Codigo_Estacao:_82784,BARBALHA,82784,-7.30083333,-39.2711111,409.41,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_CAMPOS_SALES_Codigo_Estacao:_82777,CAMPOS SALES,82777,-7.07666666,-40.38999999,586.06,Fechada,2000-01-01,2019-03-31,Mensal
Nome:_CRATEUS_Codigo_Estacao:_82583,CRATEUS,82583,-5.19055555,-40.6736111,299.12,Desativada,2000-01-01,2018-04-29,Mensal
Nome:_FORTALEZA_Codigo_Estacao:_82397,FORTALEZA,82397,-3.81527777,-38.53777777,29.89,Operante,2000-01-01,2024-06-01,Mensal
Nome:_GUARAMIRANGA_Codigo_Estacao:_82487,GUARAMIRANGA,82487,-4.26138888,-38.9311111,865.44,Fechada,2000-01-01,2019-08-30,Mensal
Nome:_IGUATU_Codigo_Estacao:_82686,IGUATU,82686,-6.39638888,-39.26888888,221.58,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_JAGUARUANA_Codigo_Estacao:_82493,JAGUARUANA,82493,-4.85361111,-37.77722221,16.57,Fechada,2000-01-01,2019-04-30,Mensal
Nome:_JUAZEIRO_DO_NORTE_Codigo_Estacao:_82785,JUAZEIRO DO NORTE,82785,-7.2,-39.32,415,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_MORADA_NOVA_Codigo_Estacao:_82588,MORADA NOVA,82588,-5.13666666,-38.35666666,43.62,Operante,2000-01-01,2024-06-01,Mensal
Nome:_QUIXADA_Codigo_Estacao:_82486,QUIXADA,82486,-4.96999999,-39.01999999,180,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_QUIXERAMOBIM_Codigo_Estacao:_82586,QUIXERAMOBIM,82586,-5.17305554,-39.28722221,227.33,Operante,2000-01-01,2024-06-01,Mensal
Nome:_SOBRAL_Codigo_Estacao:_82392,SOBRAL,82392,-3.74833333,-40.34583333,91.8,Fechada,2000-01-01,2020-08-30,Mensal
Nome:_TAUA_Codigo_Estacao:_82683,TAUA,82683,-6.00638888,-40.29972221,401.89,Fechada,2000-01-01,2021-07-31,Mensal
Nome:_VICOSA_DO_CEARA_Codigo_Estacao:_82390,VICOSA DO CEARA,82390,-3.62,-41.07,719,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_ALTO_PARNAIBA_Codigo_Estacao:_82970,ALTO PARNAIBA,82970,-9.10833333,-45.9486111,285.05,Fechada,2000-01-01,2021-07-24,Mensal
Nome:_BACABAL_Codigo_Estacao:_82460,BACABAL,82460,-4.21805554,-44.77583332,26.6,Operante,2000-01-01,2024-06-01,Mensal
Nome:_BALSAS_Codigo_Estacao:_82768,BALSAS,82768,-7.52944443,-46.04638888,263.48,Temporariamente Fechada,2000-01-01,2024-06-01,Mensal
Nome:_BARRA_DO_CORDA_Codigo_Estacao:_82571,BARRA DO CORDA,82571,-5.50638888,-45.23722221,154.17,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CAROLINA_Codigo_Estacao:_82765,CAROLINA,82765,-7.33722221,-47.45972222,182.94,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CAXIAS_Codigo_Estacao:_82476,CAXIAS,82476,-4.86722221,-43.35666666,96.67,Fechada,2000-01-01,2022-08-30,Mensal
Nome:_CHAPADINHA_Codigo_Estacao:_82382,CHAPADINHA,82382,-3.74277777,-43.35222222,104,Operante,2000-01-01,2024-06-01,Mensal
Nome:_COLINAS_Codigo_Estacao:_82676,COLINAS,82676,-6.03305554,-44.23333333,175.56,Operante,2000-01-01,2024-06-01,Mensal
Nome:_IMPERATRIZ_Codigo_Estacao:_82564,IMPERATRIZ,82564,-5.53638888,-47.47888888,126.33,Operante,2000-01-01,2024-06-01,Mensal
Nome:_SAO_LUIS_Codigo_Estacao:_82280,SAO LUIS,82280,-2.52666666,-44.21361111,32.58,Operante,2000-01-01,2024-06-01,Mensal
Nome:_TURIACU_Codigo_Estacao:_82198,TURIACU,82198,-1.66138888,-45.37194443,34.48,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ZE_DOCA_Codigo_Estacao:_82376,ZE DOCA,82376,-3.26916666,-45.65111111,46.71,Operante,2000-01-01,2024-06-01,Mensal
Nome:_AREIA_Codigo_Estacao:_82696,AREIA,82696,-6.97555554,-35.71805554,571.75,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CAMARATUBA_Codigo_Estacao:_82695,CAMARATUBA,82695,-6.561813,-35.135316,135.51,Desativada,2000-01-01,2008-08-29,Mensal
Nome:_CAMPINA_GRANDE_Codigo_Estacao:_82795,CAMPINA GRANDE,82795,-7.22555554,-35.90472222,546.27,Operante,2000-01-01,2024-06-01,Mensal
Nome:_GUARABIRA_Codigo_Estacao:_82697,GUARABIRA,82697,-6.85,-35.48,101,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_JOAO_PESSOA_Codigo_Estacao:_82798,JOAO PESSOA,82798,-7.09527777,-34.8486111,9.67,Operante,2000-01-01,2024-06-01,Mensal
Nome:_MONTEIRO_Codigo_Estacao:_82792,MONTEIRO,82792,-7.89444444,-37.12472221,606.41,Operante,2000-01-01,2024-06-01,Mensal
Nome:_PATOS_Codigo_Estacao:_82791,PATOS,82791,-7.05361111,-37.27388888,251.65,Operante,2000-01-01,2024-06-01,Mensal
Nome:_SAO_GONCALO_Codigo_Estacao:_82689,SAO GONCALO,82689,-6.83583333,-38.31166666,237.04,Operante,2000-01-01,2024-06-01,Mensal
Nome:_ARCO_VERDE_Codigo_Estacao:_82890,ARCO VERDE,82890,-8.4336111,-37.05527777,683.91,Operante,2000-01-01,2024-06-01,Mensal
Nome:_CABROBO_Codigo_Estacao:_82886,CABROBO,82886,-8.50388888,-39.31527777,342.78,Operante,2000-01-01,2024-06-01,Mensal
Nome:_GARANHUNS_Codigo_Estacao:_82893,GARANHUNS,82893,-8.91083333,-36.49333333,827.78,Fechada,2000-01-01,2022-11-11,Mensal
Nome:_GOIANA_Codigo_Estacao:_82799,GOIANA,82799,-7.55,-34.98,11,Desativada,2000-01-01,2024-06-01,Mensal
Nome:_NAZARE_DA_MATA_Codigo_Estacao:_82781,NAZARE DA MATA,82781,-7.73,-35.25,87,Desativada,2000-01-01,2024-06-01,Mensal
