nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao,P1,P2,P3,K1,K2,K3,S1,S2,S3
Nome:_CARINHANHA_Codigo_Estacao:_83408,CARINHANHA,83408,-14.29749999,-43.77138888,455.25,Fechada,2000-01-01,2020-10-31,Mensal,-0.9440301584460208,-0.12532559092645432,-0.15941341679972884,-0.8787878787878787,0.0606060606060606,-0.1212121212121212,-0.958041958041958,0.06293706293706294,-0.16783216783216784
Nome:_CIPO_Codigo_Estacao:_83192,CIPO,83192,-11.10138888,-38.52416666,143.53,Operante,2000-01-01,2024-06-01,Mensal,0.6134899476852055,-0.5634624683314965,-0.16020576057952987,0.303030303030303,-0.4242424242424242,0.0303030303030303,0.48951048951048953,-0.5664335664335665,0.0
Nome:_CORRENTINA_Codigo_Estacao:_83286,CORRENTINA,83286,-13.33249999,-44.61749999,551.69,Operante,2000-01-01,2024-06-01,Mensal,-0.9281075127569657,0.43927840326919,-0.2584772957447268,-0.7878787878787877,0.2595495470347952,-0.10687334289668038,-0.9300699300699301,0.38879218992778214,-0.06655001449214289
Nome:_CRUZ_DAS_ALMAS_Codigo_Estacao:_83222,CRUZ DAS ALMAS,83222,-12.67527777,-39.08972221,219.69,Operante,2000-01-01,2024-06-01,Mensal,0.7094792973760699,-0.8406772395533281,-0.7166673318412906,0.39393939393939387,-0.6969696969696969,-0.5151515151515151,0.6503496503496503,-0.8531468531468531,-0.7062937062937062
Nome:_FEIRA_DE_SANTANA_Codigo_Estacao:_83221,FEIRA DE SANTANA,83221,-12.1961111,-38.96722221,229.52,Fechada,2000-01-01,2018-12-17,Mensal,0.7376473390744492,-0.6254588494210434,-0.8743866788215511,0.6666666666666666,-0.39393939393939387,-0.606060606060606,0.8321678321678322,-0.5874125874125874,-0.7132867132867133
Nome:_GUARATINGA_Codigo_Estacao:_83446,GUARATINGA,83446,-16.58081,-39.783182,197.88,Operante,2000-01-01,2024-06-01,Mensal,-0.5168778231076372,-0.43103368691540467,-0.365582988166369,-0.4848484848484848,-0.2900847878624182,-0.13740858372430334,-0.6363636363636364,-0.29772374904379717,-0.16112108771781963
Nome:_IRECE_Codigo_Estacao:_83182,IRECE,83182,-11.31138888,-41.85861111,747.22,Fechada,2000-01-01,2021-07-30,Mensal,-0.9126715069812386,0.0796744234228137,0.10383968986087644,-0.6666666666666666,-0.0303030303030303,0.3636363636363636,-0.8321678321678322,0.02097902097902098,0.4195804195804196
Nome:_ITABERABA_Codigo_Estacao:_83244,ITABERABA,83244,-12.52416666,-40.29972221,250.11,Fechada,2000-01-01,2019-02-28,Mensal,0.2937722622008278,-0.47536746560473714,-0.28834144510361653,0.2727272727272727,-0.2727272727272727,-0.2121212121212121,0.3776223776223776,-0.32167832167832167,-0.24475524475524477
Nome:_ITABUNA_Codigo_Estacao:_83347,ITABUNA,83347,-14.8,-39.3,0.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_ITIRUCU_(JAGUAQUARA)_Codigo_Estacao:_83295,ITIRUCU (JAGUAQUARA),83295,-13.52777777,-40.11972221,757.53,Desativada,2000-01-01,2016-01-30,Mensal,0.031537711557211696,-0.7437370939745498,-0.4153134051423983,0.1212121212121212,-0.6969696969696969,-0.2424242424242424,0.11888111888111888,-0.8671328671328671,-0.34965034965034963
Nome:_ITUACU_Codigo_Estacao:_83292,ITUACU,83292,-13.81277777,-41.29972221,534.44,Fechada,2000-01-01,2021-07-30,Mensal,-0.6079889188561026,0.7562798702639226,-0.3022217093848103,-0.4732962328281559,0.7878787878787877,-0.38169051034528706,-0.6549922478963537,0.916083916083916,-0.5429080129622184
Nome:_JACOBINA_Codigo_Estacao:_83186,JACOBINA,83186,-11.17277777,-40.53416666,486.37,Fechada,2000-01-01,2023-03-02,Mensal,0.4243833318537343,-0.7372632699569589,0.22087297209851411,0.303030303030303,-0.5151515151515151,0.1818181818181818,0.36363636363636365,-0.7132867132867133,0.23076923076923078
Nome:_LENCOIS_Codigo_Estacao:_83242,LENCOIS,83242,-12.55777777,-41.38888888,438.09,Operante,2000-01-01,2024-06-01,Mensal,0.14957533284502278,-0.6263906222558109,0.41252995852073576,0.1212121212121212,-0.442760992000533,0.2595495470347952,0.1958041958041958,-0.5779343363791356,0.35726849885255657
Nome:_MONTE_SANTO_Codigo_Estacao:_83090,MONTE SANTO,83090,-10.44249999,-39.33083332,465.84,Fechada,2000-01-01,2020-04-30,Mensal,0.5517065141936047,-0.8316929759741996,-0.8425684064177942,0.4732962328281559,-0.606060606060606,-0.7481134002767627,0.598950130429286,-0.7692307692307693,-0.8861659824480079
Nome:_MORRO_DO_CHAPEU_Codigo_Estacao:_83184,MORRO DO CHAPEU,83184,-11.54749999,-41.15111111,1001.66,Operante,2000-01-01,2024-06-01,Mensal,0.27625667700065837,-0.601511195345039,-0.8504934734453116,0.3636363636363636,-0.4848484848484848,-0.7575757575757575,0.44755244755244755,-0.6503496503496503,-0.8951048951048951
Nome:_MUCURI_Codigo_Estacao:_83549,MUCURI,83549,-18.11999999,-39.46999999,5.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_PAULO_AFONSO_Codigo_Estacao:_82986,PAULO AFONSO,82986,-9.378106,-38.226771,255.04,Desativada,2000-01-01,2015-04-30,Mensal,0.5521829573949742,-0.8470320322200826,-0.8557425473535787,0.4848484848484848,-0.6363636363636362,-0.606060606060606,0.6293706293706294,-0.7902097902097902,-0.8041958041958042
Nome:_REMANSO_Codigo_Estacao:_82979,REMANSO,82979,-9.62583332,-42.07722221,397.39,Fechada,2000-01-01,2021-07-30,Mensal,-0.7956469488116527,0.4579667505522759,-0.11245533131039273,-0.5151515151515151,0.4242424242424242,-0.2424242424242424,-0.7552447552447552,0.5944055944055944,-0.3776223776223776
Nome:_SALVADOR_(ONDINA)_Codigo_Estacao:_83229,SALVADOR (ONDINA),83229,-13.00583333,-38.50583333,47.35,Operante,2000-01-01,2024-06-01,Mensal,-0.8256858001693418,0.019858761887262866,-0.4204574581366788,-0.6363636363636362,-0.1515151515151515,-0.1515151515151515,-0.7832167832167832,-0.16783216783216784,-0.32167832167832167
Nome:_SENHOR_DO_BONFIM_Codigo_Estacao:_83088,SENHOR DO BONFIM,83088,-10.443072,-40.148244,532.09,Desativada,2000-01-01,2011-07-31,Mensal,0.6562214691599264,-0.8790521577223942,-0.8526241866059939,0.5454545454545454,-0.6969696969696969,-0.7272727272727272,0.6783216783216783,-0.8531468531468531,-0.8601398601398601
Nome:_SERRINHA_Codigo_Estacao:_83190,SERRINHA,83190,-11.66805554,-39.00194444,362.39,Fechada,2000-01-01,2024-06-01,Mensal,0.5319215827789978,-0.8061407270620605,-0.899630557686239,0.4848484848484848,-0.606060606060606,-0.6969696969696969,0.6083916083916084,-0.7832167832167832,-0.8671328671328671
Nome:_STa._R._DE_CASSIA_(IBIPETUBA)_Codigo_Estacao:_83076,STa. R. DE CASSIA (IBIPETUBA),83076,-11.00277777,-44.52499999,450.01,Fechada,2000-01-01,2021-12-31,Mensal,-0.9063670662623369,-0.08056196694741144,-0.1905979272126462,-0.5757575757575757,-0.0909090909090909,-0.2121212121212121,-0.7832167832167832,-0.06993006993006994,-0.3356643356643357
Nome:_VITORIA_DA_CONQUISTA_Codigo_Estacao:_83344,VITORIA DA CONQUISTA,83344,-14.88638888,-40.80138888,879.47,Operante,2000-01-01,2024-06-01,Mensal,0.017950680395538005,-0.36587894929695874,0.4889937355506569,-0.0606060606060606,-0.2121212121212121,0.2424242424242424,-0.06993006993006994,-0.35664335664335667,0.36363636363636365
Nome:_ACARAU_Codigo_Estacao:_82294,ACARAU,82294,-2.885772,-40.114075,21.52,Desativada,2000-01-01,2011-03-17,Mensal,-0.7215751484486345,-0.19103226155494663,0.0076798348102453525,-0.4545454545454545,0.0303030303030303,0.0303030303030303,-0.6643356643356644,0.04895104895104895,-0.03496503496503497
Nome:_BARBALHA_Codigo_Estacao:_82784,BARBALHA,82784,-7.30083333,-39.2711111,409.41,Fechada,2000-01-01,2021-07-31,Mensal,-0.8015210691710913,-0.8948519678178638,0.7280306131304156,-0.7272727272727272,-0.8787878787878787,0.606060606060606,-0.8601398601398601,-0.965034965034965,0.7762237762237763
